study_hours,attendance,previous_marks,assignment_score,final_marks
4.4,87,86,40,68.3
9.6,55,61,95,79.4
7.6,73,62,44,62.8
6.4,56,41,84,59.0
2.4,98,66,43,59.0
2.4,80,81,55,64.0
1.5,86,41,63,51.4
8.8,60,65,55,66.3
6.4,86,56,94,69.6
7.4,58,79,41,70.0
1.2,65,72,88,52.7
9.7,71,48,67,73.4
8.5,92,82,71,81.6
2.9,78,93,66,68.6
2.6,59,87,59,58.5
2.7,88,78,63,64.1
3.7,60,68,51,59.1
5.7,76,81,89,77.9
4.9,65,94,74,74.4
3.6,70,65,99,65.8
6.5,87,74,72,69.6
2.3,63,89,72,61.4
3.6,60,64,100,62.4
4.3,70,63,90,66.2
5.1,83,52,82,64.2
8.1,57,46,76,65.9
2.8,74,75,51,59.7
5.6,90,84,42,70.0
6.3,73,59,40,65.8
1.4,80,40,72,49.1
6.5,57,47,79,58.6
2.5,73,85,49,66.0
1.6,74,55,82,58.1
9.5,86,53,83,81.5
9.7,61,51,68,67.6
8.3,95,90,52,84.6
3.7,87,62,51,54.2
1.9,94,54,70,58.8
7.2,93,67,85,76.6
5.0,72,73,41,56.6
2.1,94,41,100,61.5
5.5,55,71,90,62.2
1.3,65,62,89,50.0
9.2,82,61,74,76.6
3.3,79,90,62,69.7
7.0,77,64,56,69.4
3.8,85,61,65,63.1
5.7,84,61,47,66.2
5.9,96,88,68,80.5
2.7,89,91,65,69.0
9.7,61,81,49,74.4
8.0,70,45,65,61.9
9.5,80,54,73,74.1
9.1,56,93,90,81.2
6.4,55,82,80,72.7
9.3,66,76,46,72.0
1.8,59,72,43,50.9
2.8,91,47,97,61.9
1.4,86,92,92,63.9
3.9,63,83,89,66.5
4.5,95,83,84,75.8
3.4,89,44,50,51.5
8.5,73,78,68,77.5
4.2,70,43,95,59.5
3.5,57,45,75,55.4
5.9,74,84,64,72.7
2.3,78,71,60,57.3
8.2,87,91,100,85.0
1.7,78,69,96,59.1
9.9,65,86,75,84.5
8.0,62,74,49,71.3
2.8,90,94,76,77.7
1.0,92,79,48,55.7
8.3,94,91,63,83.1
7.4,74,55,74,68.1
7.6,89,52,88,78.7
7.9,79,89,74,81.8
1.7,89,81,87,72.5
4.2,79,69,75,66.0
2.0,83,58,57,56.8
8.8,72,56,88,76.7
6.6,100,95,78,85.8
4.0,72,58,71,55.8
1.6,56,67,63,50.4
3.8,89,94,62,77.1
3.9,70,65,71,63.3
7.6,95,76,76,78.5
6.7,90,65,51,66.7
9.0,87,92,88,84.5
5.2,58,62,94,69.4
2.1,87,48,52,52.5
7.4,68,51,62,61.9
7.8,75,92,64,80.1
6.1,74,40,74,52.3
7.9,62,40,80,60.7
5.4,61,86,69,73.6
5.7,57,73,56,65.3
4.8,71,71,88,69.6
1.2,87,93,59,64.7
2.0,66,87,87,68.4
1.3,76,64,64,52.8
6.7,76,79,61,66.8
3.8,100,84,52,69.3
5.6,84,92,98,83.8
9.2,92,40,58,70.4
3.2,92,55,88,58.9
4.7,99,78,75,73.5
7.8,62,44,51,57.3
3.1,81,61,100,62.0
1.7,81,68,80,61.7
3.6,88,94,58,73.3
2.5,75,42,51,45.3
9.4,84,51,48,73.9
8.3,87,65,46,69.1
6.7,82,55,67,64.5
8.8,87,90,53,80.1
8.2,59,76,70,70.5
2.7,73,61,91,59.2
9.0,58,68,58,65.2
5.9,89,53,97,69.9
8.3,71,67,86,75.8
9.1,98,44,55,61.9
3.9,82,86,92,74.3
2.0,84,88,44,61.5
3.1,83,69,74,64.8
4.8,100,85,51,75.6
8.4,60,91,64,80.2
8.7,89,44,91,71.3
1.1,95,51,98,57.0
5.6,91,55,60,65.2
4.8,78,65,75,63.7
3.0,83,65,92,61.6
2.1,100,87,62,75.2
4.0,85,60,55,58.1
9.5,89,78,96,86.2
3.9,87,75,78,62.4
5.7,75,72,84,73.8
7.3,86,69,92,75.0
4.3,77,76,81,69.0
9.7,87,62,97,85.7
9.7,57,49,78,65.5
3.3,72,93,53,66.0
5.5,79,44,70,63.5
3.7,96,75,97,66.7
3.6,85,73,44,57.9
1.3,57,91,74,58.6
6.5,94,70,62,71.4
5.5,100,49,68,64.4
1.5,78,58,82,52.9
3.5,86,71,50,58.8
